KabupatenKota,Akomodasi Accommodations,Kamar Rooms,"Tempat Tidur
Beds",Hotel,Total Pariwisata,rumah makan,Biro Perjalanan ,Cabang Biro Perjalanan ,Agen Perjalanan 
Pacitan,27,410,729,30,44,20,7,0,1
Ponorogo,48,818,1373,57,46,38,9,0,10
Trenggalek,12,292,517,14,47,29,2,1,31
Tulungagung,27,1088,1886,28,25,38,57,0,11
Blitar,8,189,325,13,21,43,8,0,39
Kediri,10,343,753,17,44,57,9,0,0
Malang,166,2052,4419,255,30,195,39,0,2
Lumajang,17,462,836,20,52,21,4,0,1
Jember,50,1667,3602,54,45,67,9,0,2
Banyuwangi,64,2000,4189,81,44,88,8,0,3
Bondowoso,15,430,711,15,45,37,2,0,0
Situbondo,28,704,1205,29,31,48,4,1,0
Probolinggo,96,647,2460,88,42,29,2,0,0
Pasuruan,1079,3750,5049,605,54,37,5,0,0
Sidoarjo,81,1884,4043,100,36,124,184,1,2
Mojokerto,141,1572,4412,161,42,29,2,0,3
Jombang,23,570,1610,27,32,21,8,0,0
Nganjuk,13,299,606,11,47,24,7,0,0
Madiun,7,153,255,9,45,31,1,0,1
Magetan,122,1723,2993,140,30,52,7,0,6
Ngawi,14,213,463,19,26,12,3,0,0
Bojonegoro,22,1043,1905,23,40,72,20,0,0
Tuban,25,824,1482,26,32,27,7,3,0
Lamongan,15,401,649,10,32,20,25,0,0
Gresik,24,396,833,26,38,23,42,0,29
Bangkalan,3,48,129,4,20,19,13,0,0
Sampang,5,157,372,6,26,12,6,0,0
Pamekasan,14,283,651,14,28,26,4,0,0
Sumenep,14,416,920,16,40,17,9,0,1
Kediri,29,1009,1684,17,34,25,31,0,0
Blitar,19,732,931,19,44,34,0,0,22
Malang,104,4224,8409,138,54,707,140,0,0
Probolinggo,23,520,1277,28,36,21,21,0,3
Pasuruan,6,306,339,6,43,90,11,0,26
Mojokerto,9,332,606,9,34,14,13,1,1
Madiun,37,1089,2265,38,50,27,23,0,2
Surabaya,189,10773,27740,239,38,790,335,0,9
Batu,811,5790,11031,967,25,43,9,0,2
